PLAYER_NAME,TEAM_ABBREVIATION,TS%,3PAr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OBPM,DBPM,BPM,VORP,Pos
Reggie Jackson,PHI,0.496,0.556,0.068,2.3,10.4,6.2,17.1,2.1,0.8,11,17.5,-3.2,-0.8,-4,SG
Richaun Holmes,WAS,0.695,0.022,0.432,12,22.5,17.2,12.1,0.8,3.9,11.3,14.7,1.2,0,1.1,SG
Ricky Council IV,PHI,0.502,0.46,0.33,4.4,15.4,9.7,11.4,1.3,1,8.9,20.3,-2,-2.3,-4.3,PG
RJ Barrett,TOR,0.547,0.312,0.317,3.4,17.9,10.5,27.3,1.2,0.9,12.9,28.7,1.2,-0.7,0.6,SG
Rob Dillingham,MIN,0.503,0.351,0.071,2.6,8,5.4,28.4,1.9,0.2,19.6,22.7,-3.3,-0.9,-4.2,PG
Robert Williams,POR,0.679,0.038,0.218,10.5,26.3,18.2,8.6,1.8,8.5,16.6,12.2,-0.1,3.2,3,SF
Ron Holland,DET,0.556,0.363,0.293,3.5,15.5,9.5,8.9,1.9,1.3,13.3,18.1,-3.3,0.3,-3,SG
Royce O'Neale,PHX,0.585,0.774,0.046,3.3,17.5,10.6,12.3,1.8,1.7,10.1,15.5,0.2,-0.1,0.1,SG
Rudy Gobert,MIN,0.687,0,0.535,12.5,23.8,18.2,7.5,1.2,4.1,12.4,13,0.6,1.3,1.9,SF
Rui Hachimura,LAL,0.619,0.429,0.196,4.9,12.6,8.9,6.4,1.2,1.3,7.3,15.8,-0.1,-0.6,-0.7,SG
Russell Westbrook,DEN,0.532,0.35,0.28,5.6,13.4,9.7,28.8,2.4,1.6,20.6,23.8,-0.9,-0.2,-1.1,PG
Ryan Dunn,PHX,0.517,0.553,0.082,7.5,13.5,10.6,5.7,1.5,2.7,7.5,16.7,-2.9,-1.2,-4.1,PG
Ryan Rollins,MIL,0.6,0.443,0.166,2.9,11.1,7.2,17.8,2.5,1.9,15.4,18.4,-1.4,0.9,-0.5,SF
Sam Hauser,BOS,0.632,0.842,0.023,3.1,12.7,7.9,5.8,1.3,0.8,4.6,14.3,0.9,-0.1,0.8,C
Sam Merrill,CLE,0.583,0.868,0.068,3,8.9,6.1,9.6,1.8,0.9,7.4,14.3,-0.4,0.7,0.3,PG
Sandro Mamukelashvili,SAS,0.628,0.573,0.206,9.7,19.7,14.7,10.7,1.6,2.3,7.8,20.8,3.3,-1,2.3,PF
Santi Aldama,MEM,0.588,0.503,0.145,6.1,20.3,13.3,15.2,1.5,1.6,9.3,18.5,2.5,0.7,3.2,PF
Scoot Henderson,POR,0.54,0.434,0.301,3.1,9.2,6.1,28.1,1.9,0.7,18.6,22.5,-1.4,-0.8,-2.2,SG
Scottie Barnes,TOR,0.523,0.263,0.284,5.3,20.2,12.6,27.7,2.1,2.8,13.4,27,1.5,0.9,2.4,C
Scotty Pippen Jr.,MEM,0.582,0.369,0.288,4.1,12.1,8.1,27.1,2.8,1.6,17.1,19.3,0,1.8,1.9,SF
Seth Curry,CHA,0.616,0.531,0.114,2.4,9.1,5.7,8.8,1.3,0.6,8.2,15.7,-0.8,-0.9,-1.7,SG
Shaedon Sharpe,POR,0.551,0.428,0.219,3.2,12.7,7.8,14.2,1.3,0.6,11,25.1,0,-1.3,-1.3,SF
Shai Gilgeous-Alexander,OKC,0.637,0.263,0.404,2.8,12.6,7.8,31.3,2.4,3,8.6,34.8,8.9,2.6,11.5,SG
Shake Milton,LAL,0.563,0.417,0.232,4.2,9.9,7,18.3,1.5,0.5,12.5,16.7,-1.7,-0.5,-2.2,SF
Sidy Cissoko,POR,0.471,0.433,0.3,7.4,12.4,9.9,17.7,0.9,0.8,24.5,16.6,-4.8,-0.3,-5.1,PF
Simone Fontecchio,DET,0.544,0.609,0.225,4.7,14.5,9.6,6.9,1.2,0.9,11.6,15.8,-2.2,-0.7,-2.9,SF
Spencer Dinwiddie,DAL,0.553,0.478,0.356,0.9,9.5,5.3,22.1,1.6,0.7,11.4,17.9,-0.9,-0.7,-1.6,C
Spencer Jones,DEN,0.368,0.5,0.088,7.4,7.5,7.5,4.7,1.9,3.6,12.4,13.7,-7.7,-0.8,-8.5,SF
Stanley Umude,MIL,0.27,0.577,0.154,5.3,15.8,10.7,5.7,1.7,6.5,9.8,15.7,-7.5,-0.7,-8.1,SF
Stephen Curry,GSW,0.618,0.623,0.238,1.9,13.3,7.4,31.3,1.7,1.3,12.6,29.8,6.4,0,6.3,PG
Stephon Castle,SAS,0.522,0.337,0.348,4.4,10.3,7.4,22.8,1.7,0.9,13.4,26,-1.5,-1.7,-3.2,PF
Steven Adams,HOU,0.541,0.012,0.557,21.8,22,21.9,10.9,1.3,3.2,20.6,13.6,0,0.3,0.3,SG
Svi Mykhailiuk,UTA,0.526,0.672,0.116,3.1,9.6,6.4,14.7,1.2,0.9,14.1,20.3,-1.4,-2.1,-3.5,PF
T.J. McConnell,IND,0.547,0.079,0.123,3.5,11.6,7.6,37,2.8,1.3,14.2,23.4,0.6,0.6,1.2,C
Taj Gibson,CHA,0.515,0.021,0.211,13,18.4,15.6,7.5,1.1,4.3,19.4,13.4,-5.2,-0.1,-5.3,C
Talen Horton-Tucker,CHI,0.567,0.419,0.337,2.8,11.5,7.2,16.1,1.4,1.3,10.7,21.6,-1.4,-1.1,-2.4,PG
Tari Eason,HOU,0.567,0.329,0.186,9.4,17.9,13.6,8.5,3.3,3.2,9.7,19.4,1,2.6,3.6,C
Taurean Prince,MIL,0.613,0.652,0.093,1.8,12.2,7.2,9.4,1.7,0.6,13.3,12.5,-2,0.3,-1.7,C
Terance Mann,ATL,0.584,0.395,0.165,5.3,10.4,7.8,11.7,1.6,1,9.6,14.7,-1.4,0,-1.3,SG
Terrence Shannon Jr.,MIN,0.56,0.272,0.184,3.3,11.9,7.7,13.8,1,1.4,10.9,17.7,-2.1,0,-2.1,PF
Terry Rozier,MIA,0.497,0.485,0.17,3,12.8,7.9,14.8,1.1,0.8,10.3,20.4,-2.6,-1,-3.7,C
Thomas Bryant,IND,0.614,0.461,0.199,9.7,19.2,14.5,7.6,1.4,3.9,7.9,17.1,0.7,0,0.6,C
Tidjane Salaün,CHA,0.457,0.594,0.272,5.9,18.4,12,8.5,1.1,1.1,13.1,15.2,-4.3,-0.8,-5.2,PF
Tim Hardaway Jr.,DET,0.567,0.672,0.213,0.9,8.4,4.7,7.6,0.8,0.3,6.1,15.5,-1.1,-0.9,-2.1,SF
Tobias Harris,DET,0.571,0.328,0.206,3.1,17.5,10.4,9.8,1.5,2.4,8.8,17.6,-0.5,0.6,0.1,SG
Torrey Craig,BOS,0.567,0.733,0.133,9.3,15.6,12.5,7.2,1.3,3.5,7.7,14.1,-1,0.1,-0.9,C
Tosan Evbuomwan,BKN,0.53,0.35,0.332,5.2,15.8,10.2,12.9,1.8,1.5,13.4,19.1,-3,-0.3,-3.2,C
Toumani Camara,POR,0.572,0.503,0.176,7.2,12.1,9.6,9.6,2.2,1.8,12.4,14.4,-0.9,0.8,-0.1,C
Trae Young,ATL,0.567,0.467,0.408,1.4,8.2,4.7,46.4,1.6,0.4,17.9,29.6,3.3,-2.7,0.5,C
Trayce Jackson-Davis,GSW,0.587,0.01,0.338,13.2,21.7,17.3,16.1,1.2,3.7,11.5,17.1,0.3,0.9,1.2,C
