Player,Team,Pos,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OBPM,DBPM,BPM,VORP
Pat Spencer,GSW,PG,0.455,0.218,0.149,6.3,13.7,9.9,28.1,2.7,1.1,14.3,21.2,-3,1.4,-1.6,0
Jaden Springer,2TM,PG,0.511,0.533,0.422,5.1,12.1,8.6,12.1,3.2,1,13,14.3,-4.3,1.6,-2.7,-0.1
Isaiah Stevens,MIA,PG,0,0.5,0,0,36.5,18.4,0,8.3,0,0,14.8,-19.5,7.7,-11.8,0
Lamar Stevens,MEM,PF,0.545,0.429,0.175,2.8,23,13,6.9,1.5,1.8,12.8,20.2,-3.6,-0.6,-4.2,-0.1
Isaiah Stewart,DET,C,0.616,0.168,0.276,10.1,20.6,15.4,11.3,0.9,6.7,16.1,12.4,-1.6,2.1,0.6,0.9
Julian Strawther,DEN,SG,0.559,0.553,0.185,1.4,9.5,5.6,7.6,1.4,1,9.8,17.8,-3.1,-1.4,-4.5,-0.9
Max Strus,CLE,SF,0.607,0.786,0.091,4.6,13.6,9.2,15.6,1,0.9,12.2,14.7,1.1,0.2,1.3,1.1
Jalen Suggs,ORL,PG,0.536,0.503,0.229,2.5,14.2,8.1,21.6,2.5,3.2,16.2,27.5,-0.8,1.3,0.4,0.6
Cole Swider,2TM,SF,0.465,0.746,0.016,3.1,14.3,8.6,2.3,1.1,1.1,5.9,16.7,-4.9,-2.4,-7.3,-0.2
Jae'Sean Tate,HOU,SF,0.557,0.311,0.318,8.9,12.4,10.6,10.5,2.2,1.1,11.5,13.3,-2.1,1.4,-0.7,0.2
Jayson Tatum,BOS,PF,0.582,0.497,0.3,2,23.7,12.9,27,1.5,1.3,11.2,31.2,4.4,0.8,5.2,4.8
Terry Taylor,SAC,PF,0,0,0,18.6,0,9.3,37.6,0,0,0,7.2,3.2,0.1,3.3,0
Garrett Temple,TOR,SG,0.406,0.467,0.2,4.2,9.7,6.8,17.4,3.6,0.8,13.3,13.9,-5.7,2.1,-3.6,-0.1
Dalen Terry,CHI,SG,0.546,0.388,0.257,4.1,9,6.6,12.7,2.1,1.3,15.1,14.9,-4,0.2,-3.8,-0.5
Daniel Theis,NOP,C,0.558,0.287,0.287,7.4,21.5,14.2,13,1.4,3.1,14.7,11.6,-3.3,0,-3.3,-0.2
Cam Thomas,BRK,SG,0.575,0.43,0.333,2.1,10.4,6,22.9,1,0.3,10.6,32.6,2.8,-2.6,0.3,0.5
Amen Thompson,HOU,SF,0.602,0.131,0.354,9,18.2,13.5,16.9,2.1,3.6,14.6,17.5,1.4,2.6,4.1,3.4
Ausar Thompson,DET,SF,0.568,0.107,0.309,9.3,15.9,12.6,14.4,3.5,2.9,13.3,19.1,-0.8,2.5,1.7,1.2
Klay Thompson,DAL,SF,0.552,0.631,0.084,2.5,11,6.8,10.7,1.2,1.3,8.8,21.8,0.7,-1.6,-1,0.5
Tristan Thompson,CLE,C,0.41,0.042,0.423,10.9,32.7,22.1,8.8,0.3,3,14.3,12.7,-4.9,0.3,-4.6,-0.2
JT Thor,2TM,PF,0.517,0.356,0.373,8.4,11.8,10.1,3.3,1.5,3.2,11.6,13.1,-4.3,-1.1,-5.4,-0.2
Matisse Thybulle,POR,SG,0.592,0.545,0.17,4.7,13.6,9,12.7,5.1,2.6,12.1,14.4,0,5.1,5,0.6
Xavier Tillman Sr.,BOS,C,0.31,0.604,0.075,4.7,15.5,10.1,3.8,2.4,2,20.4,13.1,-8.4,0.3,-8.1,-0.4
Drew Timme,BRK,PF,0.5,0.343,0.157,7.3,22.5,14.5,13.1,0.8,0.4,12.1,21.3,-3.9,-2.8,-6.7,-0.3
Nae'Qwan Tomlin,CLE,PF,0.489,0.313,0.344,15.9,20.1,18.1,4.4,0,1.4,5.1,26.1,-3,-2.4,-5.5,-0.1
Jacob Toppin,2TM,SF,0.523,0.455,0,4.5,17.9,11.2,10.2,1.3,0,12,13.9,-1.8,-0.8,-2.6,0
Obi Toppin,IND,PF,0.642,0.503,0.19,4.1,18.7,11.5,11.9,1.4,1.6,9.5,20.1,1.8,-0.1,1.7,1.4
Karl-Anthony Towns,NYK,C,0.63,0.278,0.337,9.8,32,21,13.8,1.4,1.9,12.1,27.4,3.5,0.1,3.6,3.5
