Player,Age,Team,Pos,TS%,3PAr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OBPM,DBPM,BPM,VORP
Moussa Diabaté,23,CHO,C,0.609,0.021,15.7,22,18.8,6.8,1.8,3.2,15.6,13.4,-1.4,-0.4,-1.9,0
Gradey Dick,21,TOR,SG,0.543,0.504,2.9,10.3,6.5,8.9,1.5,0.6,10.4,21,-1.9,-1.3,-3.2,-0.5
Ousmane Dieng,21,OKC,C,0.538,0.568,4.9,16.3,10.7,9.6,2,1.7,12,15.7,-2,1.1,-0.9,0.1
Rob Dillingham,20,MIN,PG,0.503,0.351,2.6,8,5.4,28.4,1.9,0.2,19.6,22.7,-3.3,-0.9,-4.2,-0.3
Spencer Dinwiddie,31,DAL,PG,0.553,0.478,0.9,9.5,5.3,22.1,1.6,0.7,11.4,17.9,-0.9,-0.7,-1.6,0.2
Donte DiVincenzo,28,MIN,SG,0.582,0.739,2.2,13.3,7.9,20.2,2.2,1,13.8,19.4,0.8,1.1,1.9,1.6
Luka Don?i?,25,2TM,PG,0.587,0.469,2.6,22.6,12.8,36.1,2.5,1.1,13,33.9,5.5,1.2,6.7,3.9
Luguentz Dort,25,OKC,SF,0.586,0.696,4.7,10.3,7.6,6.9,1.8,1.9,7.7,13.6,-0.6,0.8,0.2,1.2
Ayo Dosunmu,25,CHI,SG,0.585,0.421,2,10,6.1,20.2,1.4,1.1,12.5,16.6,-1.4,-0.2,-1.6,0.1
Jeff Dowtin Jr.,27,PHI,PG,0.57,0.304,2.1,9.1,5.5,19.6,1.9,1.9,5.7,18.6,0.7,-0.5,0.2,0.3
PJ Dozier,28,MIN,SG,0.621,1,3.2,12.5,7.9,18.1,1.4,0,15.1,8.2,-2,2.7,0.7,0
Andre Drummond,31,PHI,C,0.535,0.085,15.8,31.6,23.4,6.8,2.6,2.4,16.7,19.1,-2.4,-0.8,-3.2,-0.2
Chris Duarte,27,CHI,SG,0.61,0.577,7.2,20.9,14.2,16.6,0,0,3.3,17.2,2.2,-1,1.2,0.1
